case_id,image_path,source,label,split,quality,notes
ABNORMAL_LUNG_00001,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00001_suspected_opacity_001.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 001.JPG
ABNORMAL_LUNG_00002,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00002_suspected_opacity_002.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 002.JPG
ABNORMAL_LUNG_00003,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00003_suspected_opacity_003.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 003.JPG
ABNORMAL_LUNG_00004,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00004_suspected_opacity_004.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 004.JPG
ABNORMAL_LUNG_00005,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00005_suspected_opacity_005.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 005.JPG
ABNORMAL_LUNG_00006,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00006_suspected_opacity_006.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 006.JPG
ABNORMAL_LUNG_00007,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00007_suspected_opacity_007.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 007.JPG
ABNORMAL_LUNG_00008,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00008_suspected_opacity_008.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 008.JPG
ABNORMAL_LUNG_00009,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00009_suspected_opacity_009.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 009.JPG
ABNORMAL_LUNG_00010,data/traitees/abnormal_lung_images/ABNORMAL_LUNG_00010_suspected_opacity_010.jpg,fkarimovv/abnormal-lung,suspected_opacity,external,unknown,Imported from 010.JPG
